SOA Code,SOA Name,Ward Name,Locality,District/Borough,Total Population,"% of Total Population aged 60+ (Females), 65+ (Males)"
E01031040,Polesworth West - Birchmoor & Pooley Fields,Polesworth West,North Warwickshire - North ,North Warwickshire,"1,776",16.2%
E01031121,Whitestone North,Whitestone,Weddington & St. Nicolas/Whitestone & Bulkington,Nuneaton & Bedworth,"1,288",16.1%
E01031127,Admirals East,Admirals,Rugby Town West ,Rugby,"1,527",16.0%
E01031006,New Arley West and Old Arley,Arley and Whitacre,North Warwickshire - South ,North Warwickshire,"1,428",16.0%
E01031111,Weddington St Nicholas East,Weddington,Weddington & St. Nicolas ,Nuneaton & Bedworth,"1,133",16.0%
E01031087,Heath Sports,Heath,Bedworth North ,Nuneaton & Bedworth,"2,051",15.9%
E01031257,Abbey East,Abbey,Kenilworth ,Warwick,"1,498",15.9%
E01031098,Poplar Bayton Road,Poplar,Bedworth South ,Nuneaton & Bedworth,"1,360",15.9%
E01031128,"Easenhall, Newton & Biggin and Harborough Magna",Avon and Swift,Rugby Rural ,Rugby,"2,684",15.8%
E01031272,Clarendon North,Clarendon,North Leamington ,Warwick,"1,652",15.8%
