DATA_DADES;HOMES;SECCIO_CENSAL;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS
30/03/15;521;02031;573;148;76;604;266;984;32;78
30/03/15;493;02032;707;118;84;632;366;1057;60;83
30/03/15;541;02033;661;129;83;717;273;1015;63;124
30/03/15;537;02034;626;90;79;714;280;894;53;216
30/03/15;587;02035;690;119;105;690;363;1108;52;117
30/03/15;568;02036;657;136;123;707;259;1068;52;105
30/03/15;588;02037;627;126;117;724;248;1086;54;75
30/03/15;745;02038;852;176;170;987;264;1424;72;101
30/03/15;745;02039;965;178;133;998;401;1429;71;210
30/03/15;769;02040;888;172;122;1046;317;1268;88;301
30/03/15;709;02041;890;153;110;931;405;1370;67;162
30/03/15;772;02042;881;153;144;912;444;1508;30;115
30/03/15;682;02043;777;171;135;862;291;1273;54;132
30/03/15;550;02044;719;128;113;714;314;1008;43;218
30/03/15;540;02045;643;121;94;664;304;980;62;141
30/03/15;854;02046;1022;215;159;1042;460;1585;70;221
30/03/15;873;02047;1018;196;178;1058;459;1575;90;226
30/03/15;566;02048;684;133;114;754;249;955;64;231
30/03/15;940;02049;1117;175;155;1245;482;1539;151;367
30/03/15;715;02050;855;145;132;953;340;1261;105;204
30/03/15;855;02051;1047;174;145;1163;420;1472;129;301
30/03/15;843;02052;998;214;131;1131;365;1447;141;253
30/03/15;830;02053;967;202;149;1079;367;1481;113;203
30/03/15;844;02054;1000;222;131;1064;427;1540;117;187
30/03/15;860;02055;1001;191;171;1083;416;1513;118;230
30/03/15;642;02056;872;174;103;850;387;1223;153;138
30/03/15;573;02057;650;161;93;662;307;1075;73;75
30/03/15;631;02058;764;158;131;750;356;1212;75;108
30/03/15;772;02059;908;195;129;985;371;1390;143;147
30/03/15;763;02060;914;215;129;921;412;1424;90;163
30/03/15;579;02061;727;137;107;798;264;1026;108;172
30/03/15;717;02062;828;213;105;939;288;1274;150;121
30/03/15;462;02063;722;125;107;566;386;1030;88;66
30/03/15;646;02064;717;157;127;768;311;1151;112;100
30/03/15;857;02065;1004;224;162;1141;334;1460;197;204
30/03/15;853;02066;989;187;149;1045;461;1573;105;164
30/03/15;748;02067;901;191;117;1061;280;1258;182;209
30/03/15;775;02068;917;185;144;1042;321;1328;165;199
30/03/15;652;02069;731;183;120;779;301;1147;118;118
30/03/15;626;02070;729;169;118;788;280;1089;116;150
30/03/15;842;02071;892;239;191;1007;297;1478;153;103
30/03/15;577;02072;611;160;121;689;218;1015;95;78
30/03/15;803;02073;871;222;167;988;297;1350;204;120
30/03/15;589;02074;597;164;92;694;236;893;170;123
30/03/15;576;02075;657;161;110;729;233;946;158;129
30/03/15;783;02076;882;249;146;975;295;1330;166;169
30/03/15;724;02077;757;152;136;885;308;1090;180;211
30/03/15;612;02078;787;163;131;784;321;1070;133;196
30/03/15;577;02079;665;141;111;678;312;998;112;132
30/03/15;680;02080;775;169;130;809;347;1203;134;118
30/03/15;942;02081;1122;204;196;1149;515;1659;192;213
30/03/15;415;02082;507;102;78;505;237;763;78;81
30/03/15;762;02083;947;219;137;940;413;1368;166;175
30/03/15;902;02084;1096;230;164;1155;449;1651;157;190
30/03/15;655;02085;798;185;116;837;315;1163;155;135
30/03/15;634;02086;783;203;123;838;253;1171;125;121
30/03/15;627;02087;799;182;97;846;301;1185;84;157
30/03/15;737;02088;905;189;136;946;371;1338;149;155
30/03/15;896;02089;1010;208;139;1204;355;1498;218;190
30/03/15;776;02090;860;162;130;1002;342;1285;161;190
30/03/15;910;02091;892;199;148;1131;324;1399;188;215
30/03/15;830;02092;875;129;114;1091;371;1319;165;221
30/03/15;841;02093;833;166;153;995;360;1311;119;244
30/03/15;699;02094;760;118;125;885;331;1191;108;160
30/03/15;715;02095;801;134;126;925;331;1211;116;189
30/03/15;636;02096;738;111;122;803;338;1107;111;156
